price_raw,title,location,status,availability,property_type,beds,baths,author,post-date,listing_url,24hrs Power,30kva generator,5kva inverter,Balcony,BQ,Car Park,CCTV,Children Playground,Fitted Bathrooms,Fitted Kitchen,Fully Furnished,Gated Estate,Gym,Home Automation,Home Entertainment Unit,Jacuzzi,Maid's Room,Rooftop Terrace,Swimming Pool,Walk-in Closet,WiFi,Golf Course View,Private Elevator,Study,Cinema,Garden,area(sqm),Water Front,Private Cinema,Water View,Football Pitch,Tennis Court,Sauna,price(NGN),price(millions_NGN),log_price_millions_NGN
"420,000,000",4-Bedroom Terrace Duplex,Chevron,Sale,sale,Terraced,4.0,4.0,Peter Ogunremi,4 months ago,https://cwlagos.com/property/4-bedroom-terrace-duplex-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420000000.0,420.0,6.040254711277414
"240,000,000",4-Bedroom Fully Detached Duplex with BQ,Chevron,Sale,sale,Detached,4.0,4.0,Peter Ogunremi,3 months ago,https://cwlagos.com/property/4-bedroom-fully-detached-duplex-with-bq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000000.0,240.0,5.480638923341991
"400,000,000",5-bedroom detached duplex,Chevron,Sale,sale,Detached,5.0,5.0,Peter Ogunremi,4 months ago,https://cwlagos.com/property/5-bedroom-detached-duplex-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000000.0,400.0,5.991464547107982
"12,000,000",3-Bedroom Apartment,Ikate,Rent,rent,Apartment,3.0,3.0,Peter Ogunremi,6 months ago,https://cwlagos.com/property/3-bedroom-apartment-4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,12.0,2.4849066497880004
"310,000,000",4-Bedroom Semi-Detached Duplex with BQ,Ikate,Sale,sale,Semi Detached,4.0,4.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/4-bedroom-semi-detached-duplex-with-bq-16/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310000000.0,310.0,5.736572297479192
"325,000,000",4-Bedroom Terrace Duplex with BQ,Ikate,Sale,sale,Terraced,4.0,4.0,Peter Ogunremi,1 month ago,https://cwlagos.com/property/4-bedroom-terrace-duplex-with-bq-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325000000.0,325.0,5.783825182329737
"280,000,000",4-Bedroom Detached Duplex,Ikate,Sale,sale,Detached,4.0,4.0,admin-cw,2 weeks ago,https://cwlagos.com/property/4-bedroom-detached-duplex-2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280000000.0,280.0,5.634789603169249
"700,000,000",4-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,4.0,4.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/4-bedroom-semi-detached-duplex-7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000000.0,700.0,6.551080335043404
"240,000,000",2 & 3 Bedroom Apartments,Ikate,Sale,sale,Apartment,,,Peter Ogunremi,2 months ago,https://cwlagos.com/property/2-3-bedroom-apartments/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000000.0,240.0,5.480638923341991
"170,000,000",2-Bedroom Apartment,Ikate,Sale,sale,Apartment,2.0,2.0,Peter Ogunremi,2 months ago,https://cwlagos.com/property/2-bedroom-apartment-26/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000000.0,170.0,5.135798437050262
"180,000,000",2&3 Bedroom apartments with bq,Ikate,Sale,sale,Apartment,3.0,3.0,Peter Ogunremi,3 months ago,https://cwlagos.com/property/23-bedroom-apartments-with-bq/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180000000.0,180.0,5.19295685089021
"NGN GNGN  950,000,000",Land Measuring 1000 sqm,Ikate,Sale,sale,,,,Kemi Adeyinka,6 months ago,https://cwlagos.com/property/land-measuring-1000-sqm/,True,True,True,True,,True,True,True,True,True,,True,,True,True,True,,,,True,True,,,,,True,1000 sqm,,,,,,,950000000.0,950.0,6.856461984594587
"NGN GNGN  200,000,000",Newly Built 2 Bedroom Apartment with Swimming Pool,Ikate,Sale,sale,Apartment,2.0,2.0,Peter Ogunremi,10 months ago,https://cwlagos.com/property/newly-built-2-bedroom-apartment-with-swimming-pool-2/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,,True,,,,,200000000.0,200.0,5.298317366548036
"300,000,000",Apartment Units,Ikate,Sale,sale,Apartment,,,Peter Ogunremi,3 months ago,https://cwlagos.com/property/apartment-units/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000000.0,300.0,5.703782474656201
"1,200,000,000",5-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,5.0,5.0,admin-cw,1 month ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000.0,1200.0,7.090076835776092
"NGN GNGN  155,000,000",Brand New 3 Bedroom Apartment with BQ,Ikate,Sale,sale,Apartment,3.0,3.0,Peter Ogunremi,10 months ago,https://cwlagos.com/property/brand-new-3-bedroom-apartment-with-bq/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,155000000.0,155.0,5.043425116919247
"NGN GNGN  240,000,000",Brand New 4 Bedroom Semi-Detached Triplex with BQ,Ikate,Sale,sale,Semi Detached,4.0,4.0,,10 months ago,https://cwlagos.com/property/brand-new-4-bedroom-semi-detached-triplex-with-bq/,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,,,,,,,,,,,,240000000.0,240.0,5.480638923341991
"NGN GNGN  200,000,000",Newly Built 2 Bedroom Apartment with Swimming Pool,Ikate,Sale,sale,Apartment,2.0,2.0,Peter Ogunremi,10 months ago,https://cwlagos.com/property/newly-built-2-bedroom-apartment-with-swimming-pool-2/,True,True,True,True,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,,True,,,,True,,,,,200000000.0,200.0,5.298317366548036
"160,000,000",2-Bedroom Apartment,Ikate,Sale,sale,Apartment,2.0,2.0,Peter Ogunremi,3 months ago,https://cwlagos.com/property/2-bedroom-apartment-17/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000000.0,160.0,5.075173815233827
"1,400,000,000",5-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,5.0,5.0,admin-cw,1 month ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-4/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400000000.0,1400.0,7.24422751560335
"260,000,000",3 Bedroom Penthouse,Ikate,Sale,sale,Penthouse,3.0,3.0,Peter Ogunremi,7 months ago,https://cwlagos.com/property/3-bedroom-penthouse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000000.0,260.0,5.560681631015528
"1,200,000,000",5-Bedroom Semi-Detached Duplex,Ikate,Sale,sale,Semi Detached,5.0,5.0,admin-cw,4 weeks ago,https://cwlagos.com/property/5-bedroom-semi-detached-duplex-5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000000.0,1200.0,7.090076835776092
